FID IID PC1 PC2 PC3 PHASE1
0 HG00096 -0.0247 0.0053 0.0393 1
0 HG00097 0.1451 0.1168 0.0535 1
0 HG00099 0.1699 0.1083 0.0848 1
0 HG00100 -0.0287 0.0196 0.0737 1
0 HG00101 0.1056 0.0939 0.1724 1
0 HG00102 0.0968 0.058 0.0447 1
0 HG00103 -0.0293 0.0014 0.0568 1
0 HG00104 0.1441 0.1167 0.0375 1
0 HG00105 -0.0149 0.0073 0.0259 0
0 HG00106 -0.0072 0.0181 0.0382 1
0 HG00108 -0.0252 -0.0154 0.12 1
0 HG00109 0.0771 0.0615 0.0197 1
0 HG00110 0.0708 0.0427 0.0576 1
0 HG00111 -0.0221 0.001 0.1592 1
0 HG00112 -0.0088 0.0048 0.0624 1
0 HG00114 -0.026 -0.0043 0.0801 1
0 HG00115 5e-04 -0.0075 0.0253 0
0 HG00116 -0.0183 -0.0042 0.2926 1
0 HG00117 -0.0168 -0.0285 0.0598 1
0 HG00118 -0.0022 0.0118 0.0053 1
0 HG00119 -0.0094 -0.0178 0.0778 1
0 HG00120 -0.021 -0.0098 0.307 1
0 HG00121 0.0572 0.0406 0.0458 1
0 HG00122 -0.006 0.0313 0.0678 1
0 HG00123 -0.0195 0.002 0.0835 1
0 HG00124 -0.0192 0.0138 0.047 1
0 HG00125 -0.0195 0.0043 0.0668 1
0 HG00126 -8e-04 0.0065 0.0095 1
0 HG00127 -0.0258 0.0012 0.0288 1
0 HG00128 0.1195 0.0953 0.0487 1
0 HG00129 0.1168 0.1059 0.0398 1
0 HG00130 0.133 0.1042 0.0649 1
0 HG00131 -0.0209 -0.0109 0.0608 1
0 HG00132 -0.0113 0.0104 0.0212 0
0 HG00133 -0.0216 -9e-04 0.0158 1
0 HG00134 0.1526 0.0998 0.0462 1
0 HG00135 0.1453 0.0996 0.0247 1
0 HG00136 -0.02 -0.0067 0.0353 1
0 HG00137 -0.0209 -0.0094 0.0458 1
0 HG00138 -0.0225 -0.0127 0.0454 1
0 HG00139 -0.0165 -0.0067 0.0213 1
0 HG00141 0.0082 0.0218 0.0042 1
0 HG00142 -0.0057 0.0072 0.0395 1
0 HG00143 -0.012 0.0017 0.0337 1
0 HG00145 -0.0138 0.0142 0.0294 0
0 HG00146 -0.0201 0.0197 0.0484 1
0 HG00148 -0.0086 0.0066 0.0319 1
0 HG00149 -0.0061 -0.0123 0.0026 1
0 HG00150 -0.02 0.0125 0.0117 1
0 HG00151 -0.0133 -0.0095 0.0422 1
0 HG00152 -0.0048 0.0109 0.0091 1
0 HG00154 -0.0173 -0.0069 0.0505 1
0 HG00155 -0.0283 0.0176 0.0026 1
0 HG00156 0.0044 -0.0019 0.0336 1
0 HG00157 -0.008 0.0102 0.0121 0
0 HG00158 -0.0308 0.0054 0.0488 1
0 HG00159 -0.0281 -0.0048 0.0364 1
0 HG00160 -0.0297 0.0168 0.0207 1
0 HG00171 0.0206 -0.1146 0.0041 1
0 HG00173 0.0362 -0.1086 -0.0182 1
0 HG00174 0.0072 -0.1086 -0.0583 1
0 HG00176 0.0053 -0.075 -0.0056 1
0 HG00177 0.0122 -0.0714 -0.0142 1
0 HG00178 -0.0013 -0.0774 0.0103 1
0 HG00179 0.0177 -0.0536 0.034 1
0 HG00180 0.0189 -0.0637 -0.0306 1
0 HG00181 -0.0076 -0.0038 -0.0147 0
0 HG00182 0.0232 -0.1117 -0.0597 1
0 HG00183 0.012 -0.1017 -0.0164 1
0 HG00185 0.0137 -0.095 -0.0025 1
0 HG00186 0.0293 -0.1309 -0.0303 1
0 HG00187 0.0252 -0.1357 -0.0909 1
0 HG00188 0.0062 -0.1003 -0.0077 1
0 HG00189 0.0096 -0.0671 0.0022 1
0 HG00231 -0.0161 0.0042 0.0609 1
0 HG00232 -0.019 -0.0029 0.0409 1
0 HG00233 -0.0186 -5e-04 0.0421 1
0 HG00234 0.1111 0.1171 -0.0018 1
0 HG00235 0.1872 0.123 0.1345 1
0 HG00236 -0.0273 -0.0011 0.0563 1
0 HG00238 0.1201 0.0904 0.071 1
0 HG00239 -0.0199 0.0056 0.0387 1
0 HG00240 0.0986 0.0711 0.037 1
0 HG00242 -0.0257 0.0109 0.0877 1
0 HG00243 -0.0292 0.0053 0.0716 1
0 HG00244 -0.023 0.0047 0.029 1
0 HG00245 -0.0297 0.004 0.0611 1
0 HG00246 -0.0147 -0.0016 0.0858 1
0 HG00247 -0.0199 -0.0148 0.0431 1
0 HG00249 -0.025 0.0219 0.0545 1
0 HG00250 -0.0242 -0.0142 0.035 1
0 HG00251 -0.0244 -0.0027 0.0302 1
0 HG00252 -0.0165 0.0084 0.0556 1
0 HG00253 -0.0263 0.0085 0.0534 1
0 HG00255 0.098 0.0757 0.0446 1
0 HG00256 -0.0233 -0.0087 0.0632 1
0 HG00257 -0.0177 0.0075 0.0511 1
0 HG00258 -0.0268 0.0051 0.0215 1
0 HG00259 -0.0291 0.0085 0.0481 1
0 HG00260 -0.0154 0.0018 0.0491 1
